Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
FF7R EPISODE INTERmission (New Story Content Featuring Yuffie) (Japanese/English Version) (Chinese/Korean Ver.),"SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/JP0082-PPSA01637_00-8094607291671776,,,Not available for purchase,,5,6,"Role Playing Games, Unique",9/6/2021
FF7R EPISODE INTERmission (New Story Content Featuring Yuffie) (Chinese/Korean Version) (Chinese/Korean Ver.),"SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA01773_00-8094607291671776,,,Not available for purchase,,5,4,"Role Playing Games, Unique",9/6/2021
"Sonic Origins Plus PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",SEGA CORPORATION,https://store.playstation.com/en-hk/product/JP0177-PPSA05326_00-SONICORIGINSPLUS,50%,HK$298.00,HK$149.00,14/2/2024 03:59 PM UTC,4.5,2.2k,Action,23/6/2023
"Lords of the Fallen (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",CI GAMES S.A.,https://store.playstation.com/en-hk/product/EP4321-PPSA03641_00-0026114790873430,35%,HK$568.00,HK$369.20,14/2/2024 03:59 PM UTC,3.67,8.2k,"Role Playing Games, Action",12/10/2023
"Lords of the Fallen Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)",CI GAMES S.A.,https://store.playstation.com/en-hk/product/EP4321-PPSA03641_00-0799477230769562,35%,HK$638.00,HK$414.70,14/2/2024 03:59 PM UTC,3.67,8.2k,"Role Playing Games, Action",12/10/2023
"Grand Theft Auto V (PlayStation®5) (Simplified Chinese, English, Korean, Traditional Chinese)",Rockstar Games,https://store.playstation.com/en-hk/product/UP1004-PPSA03420_00-GTAOANDSPUPGRADE,50%,HK$318.00,HK$159.00,14/2/2024 03:59 PM UTC,4.52,671k,"Action, Adventure",14/3/2022
GTA Online: Megalodon Shark Cash Card (PS4™) (English/Chinese/Korean Ver.),Rockstar Games,https://store.playstation.com/en-hk/product/UP1004-CUSA00419_00-ASIA000000000009,15%,HK$775.00,HK$658.75,14/2/2024 03:59 PM UTC,0,No,Action,17/11/2014
Bloodborne™ PlayStation®Hits (English/Chinese/Korean Ver.),Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-CUSA01363_00-0000000000000002,50%,HK$148.00,HK$74.00,14/2/2024 03:59 PM UTC,4.73,217k,"Action, Role Playing Games",25/7/2018
"Atelier Marie Remake: The Alchemist of Salburg (PS4 & PS5) (Simplified Chinese, English, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA10906_00-APPA01REMAKE0000,25%,HK$412.00,HK$309.00,14/2/2024 03:59 PM UTC,4.56,124,Role Playing Games,12/7/2023
"Atelier Marie Remake: The Alchemist of Salburg Digital Deluxe Edition (PS4 & PS5) (Simplified Chinese, English, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA10906_00-APPA01REMAKEDDX0,25%,HK$576.00,HK$432.00,14/2/2024 03:59 PM UTC,4.56,124,Role Playing Games,12/7/2023
Atelier Marie Remake: The Alchemist of Salburg Digital Deluxe Upgrade Pack (Add-On),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA10906_00-APPA01REMAKEDLC0,25%,HK$181.00,HK$135.75,14/2/2024 03:59 PM UTC,5,1,Role Playing Games,12/7/2023
Atelier Ryza 2: Lost Legends & the Secret Fairy (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-PPSA02093_00-RYZA200000MASTER,50%,HK$528.00,HK$264.00,14/2/2024 03:59 PM UTC,4.77,1.1k,Role Playing Games,25/1/2021
"Atelier Ryza 2: Lost Legends & the Secret Fairy (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA02095_00-RYZA200000MASTER,50%,HK$528.00,HK$264.00,14/2/2024 03:59 PM UTC,4.77,1.1k,Role Playing Games,2/12/2020
"Atelier Ryza 2: Lost Legends & the Secret Fairy Digital Deluxe Edition (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA02095_00-ATELIERYZA2DDX00,50%,HK$634.00,HK$317.00,14/2/2024 03:59 PM UTC,4.77,1.1k,Role Playing Games,16/12/2020
Atelier Ryza 2: Lost Legends & the Secret Fairy Digital Deluxe Edition (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-PPSA02093_00-ATELIERYZA2DDX00,50%,HK$634.00,HK$317.00,14/2/2024 03:59 PM UTC,4.77,1.1k,Role Playing Games,8/2/2021
"Atelier Ryza 2: Lost Legends & the Secret Fairy Ultimate Edition (Simplified Chinese, Korean, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-PPSA02095_00-ATELIERYZA2UE000,50%,HK$968.00,HK$484.00,14/2/2024 03:59 PM UTC,4.77,1.1k,Role Playing Games,16/12/2020
Atelier Ryza 2: Lost Legends & the Secret Fairy Ultimate Edition (English),KOEI TECMO America,https://store.playstation.com/en-hk/product/UP4108-PPSA02093_00-ATELIERYZA2UE000,50%,HK$968.00,HK$484.00,14/2/2024 03:59 PM UTC,4.77,1.1k,Role Playing Games,8/2/2021
"Atelier Ryza: Digital Deluxe Edition (Simplified Chinese, Traditional Chinese)","KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/HP0106-CUSA16463_00-ASIADX0000000000,60%,HK$634.00,HK$253.60,14/2/2024 03:59 PM UTC,4.74,2.4k,"Role Playing Games, Role Playing Games",25/9/2019
Atelier Ryza: Digital Deluxe Edition (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA16458_00-ASIASET000000000,60%,HK$634.00,HK$253.60,14/2/2024 03:59 PM UTC,4.74,2.4k,"Role Playing Games, Role Playing Games",29/10/2019
Atelier Ryza: Ever Darkness ＆ the Secret Hideout (English Ver.),"KOEI TECMO GAMES CO., LTD.",https://store.playstation.com/en-hk/product/UP4108-CUSA16458_00-ASIA000000000001,60%,HK$528.00,HK$211.20,14/2/2024 03:59 PM UTC,4.74,2.4k,"Role Playing Games, Role Playing Games",29/10/2019
