,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
120,Lovers,アンサーパレード,https://open.spotify.com/album/4kNlMuuyicf74Vn0b74Jys,sumika,65,2016-05-25,https://open.spotify.com/track/6IEqiEgTQn4FwE0seKXFZO,250800,False
121,祈り花,祈り花,https://open.spotify.com/album/1GyEndDROnEar07lJ2RHyb,HIRAIDAI,63,2011-10-19,https://open.spotify.com/track/5G24eB35Ucu4A8MPKLNV9B,263480,False
122,slash,slash,https://open.spotify.com/album/4oLomJzmXTSNYrOYsEg4u3,yama,67,2023-04-09,https://open.spotify.com/track/7ecWzYoWecy0fiUu6FKZ3T,238833,False
123,P.S.,P.S.,https://open.spotify.com/album/4Ov5F3jrRQcCApqS3NheI0,Lilas Ikuta,61,2023-07-07,https://open.spotify.com/track/5IUa0XCUrIzqjBcFv5fgRo,172611,False
124,夢みるスーパーマン,バットリアリー,https://open.spotify.com/album/4SlmPGkHTG19dxQffnB5SU,Saucy Dog,46,2023-07-19,https://open.spotify.com/track/7JEYvQLv4io6Xi5FldZMqw,192878,False
125,Bluma to Lunch,BLOOM SQUAD,https://open.spotify.com/album/3jEYkWEh3uvfHPjl1x3Kwx,BLOOM VASE,63,2020-12-19,https://open.spotify.com/track/0eQkbjPz6eQvhI3sfpshVK,159040,True
126,サマーデイドリーム,バットリアリー,https://open.spotify.com/album/4SlmPGkHTG19dxQffnB5SU,Saucy Dog,42,2023-07-19,https://open.spotify.com/track/6t3aCzGJaigaURhSvDDduN,257513,False
127,シグナル,Everybody!!,https://open.spotify.com/album/1spFHTdEd1oA8htGJxeIac,WANIMA,63,2018-01-17,https://open.spotify.com/track/4Ybp3UvVXvraRNwOCWnrNq,219530,False
128,魔法が解けたら,バットリアリー,https://open.spotify.com/album/4SlmPGkHTG19dxQffnB5SU,Saucy Dog,39,2023-07-19,https://open.spotify.com/track/6h1ry3Eb2gPMSi2mIhmBP6,240880,False
129,現在を生きるのだ。,バットリアリー,https://open.spotify.com/album/4SlmPGkHTG19dxQffnB5SU,Saucy Dog,39,2023-07-19,https://open.spotify.com/track/0zZn7tupk239zwb3SPFmT1,277701,False
130,紫苑,バットリアリー,https://open.spotify.com/album/4SlmPGkHTG19dxQffnB5SU,Saucy Dog,39,2023-07-19,https://open.spotify.com/track/5kDvlzU9exo2NjRmVjPWZu,325068,False
